preco_imovel,condominio,iptu,rua,numero,bairro,cidade,area_util,quartos,banheiros,garagens,endereco_completo,address_found,latitude_calculada,longitude_calculada,Dist_Centro,Dist_UFSM,Dist_Royal,Dist_Pnova,Dist_HUSM,Dist_Caridade,Dist_Parque_Itaimbe,Dist_Praça_Roque,Dist_Praça_Saldanha,Dist_Club_Dores,Dist_Aeroporto,escola_fundamental,escola_infantil,geometry,apartamento,casa,cobertura,ln_preco,LISA_Cluster,p_valor_lisa
195000,R$ 350,,Rua Marechal Floriano Peixoto,993.0,Centro,Santa Maria,83.0,2,1,0,"Rua Marechal Floriano Peixoto, 993 - Centro, Santa Maria, Brasil","R. Floriano Peixoto, 993 - Centro, Santa Maria - RS, 97015-371, Brazil",-29.6864547,-53.80937059999999,0.0021672482689000868,0.00010079036234776097,0.0006857808478237535,0.0003318259426564307,0.00010406172521750834,0.0014790741699479881,0.0015513146101505135,0.0016499196724476107,0.0041394231024976195,0.0008117827361737307,9.248153191864824e-05,1,0,POINT (-53.80937059999999 -29.6864547),1,0,0,12.180754837545884,Não Significativo,0.351
430000,R$ 250,,Rua Marechal Floriano Peixoto,1512.0,Centro,Santa Maria,84.0,2,2,1,"Rua Marechal Floriano Peixoto, 1512 - Centro, Santa Maria, Brasil","R. Floriano Peixoto, 1512 - Centro, Santa Maria - RS, 97015-372, Brazil",-29.6907875,-53.8078546,0.002563456235184617,0.00010407008377876051,0.0007961812052982851,0.00036036937781041265,0.00010724255199856421,0.004875387565745314,0.0012302249271817953,0.005356057365499153,0.0018690440231397991,0.0008916969064670647,9.459942301478952e-05,0,0,POINT (-53.8078546 -29.6907875),1,0,0,12.971540487669746,Low-Low (Baixo-Baixo),0.005
500000,,,Rua Marechal Floriano Peixoto,1385.0,Centro,Santa Maria,85.0,2,2,1,"Rua Marechal Floriano Peixoto, 1385 - Centro, Santa Maria, Brasil","R. Floriano Peixoto, 1385 - Centro, Santa Maria - RS, 97015-373, Brazil",-29.6898919,-53.8086816,0.002535560570955729,0.00010289437437875804,0.0007495899088591064,0.00035940968345397434,0.00010604832165814776,0.0030339919036392266,0.0012689538002137583,0.0034093779605971065,0.002171130647357389,0.0008505439415137218,9.373642088368082e-05,1,0,POINT (-53.8086816 -29.6898919),1,0,0,13.122363377404328,Não Significativo,0.257
410000,R$ 300,,Rua Marechal Floriano Peixoto,227.0,Centro,Santa Maria,85.0,3,2,1,"Rua Marechal Floriano Peixoto, 227 - Centro, Santa Maria, Brasil","R. Floriano Peixoto, 227 - Nossa Sra. do Rosario, Santa Maria - RS, 97010-310, Brazil",-29.6795654,-53.8114807,0.0008729175928374411,9.59404734137424e-05,0.0005035423917294089,0.00028377082988167686,9.929527816801322e-05,0.0006860319739062455,0.0009916548025217518,0.0007249220345149868,0.0011865296539220606,0.0005886291814676467,8.924121687646311e-05,0,0,POINT (-53.8114807 -29.6795654),1,0,0,12.92391243868049,Não Significativo,0.168
410000,R$ 250,,Rua Marechal Floriano Peixoto,1512.0,Centro,Santa Maria,87.0,2,2,1,"Rua Marechal Floriano Peixoto, 1512 - Centro, Santa Maria, Brasil","R. Floriano Peixoto, 1512 - Centro, Santa Maria - RS, 97015-372, Brazil",-29.6907875,-53.8078546,0.002563456235184617,0.00010407008377876051,0.0007961812052982851,0.00036036937781041265,0.00010724255199856421,0.004875387565745314,0.0012302249271817953,0.005356057365499153,0.0018690440231397991,0.0008916969064670647,9.459942301478952e-05,0,0,POINT (-53.8078546 -29.6907875),1,0,0,12.92391243868049,Low-Low (Baixo-Baixo),0.005
490000,,,Rua Marechal Floriano Peixoto,478.0,Centro,Santa Maria,91.0,3,1,1,"Rua Marechal Floriano Peixoto, 478 - Centro, Santa Maria, Brasil","R. Floriano Peixoto, 478 - Centro, Santa Maria - RS, 97010-310, Brazil",-29.6817392,-53.81050459999999,0.0011194546107580574,9.771594074896397e-05,0.000563992670061286,0.00029695257611862797,0.0001010817661740533,0.0008341297452220322,0.0012428228187827874,0.0008922710849635581,0.0016955754167868528,0.0006683925417418014,9.051274204818603e-05,0,0,POINT (-53.81050459999999 -29.6817392),0,1,0,13.102160670086809,Low-Low (Baixo-Baixo),0.001
279000,R$ 360,,Rua Marechal Floriano Peixoto,1321.0,Centro,Santa Maria,99.0,3,2,0,"Rua Marechal Floriano Peixoto, 1321 - Centro, Santa Maria, Brasil","R. Floriano Peixoto, 1321 - Centro, Santa Maria - RS, 97015-373, Brazil",-29.6891755,-53.808636,0.0027758833350149015,0.00010263783534406645,0.0007499028842847356,0.0003520199579801183,0.00010583498816127719,0.0026052732645723622,0.001369603526414647,0.0030138864465956215,0.0025908934469824115,0.0008628022749767722,9.363781556262076e-05,1,0,POINT (-53.808636 -29.6891755),1,0,0,12.538967060803502,Low-Low (Baixo-Baixo),0.001
279000,,,Rua Marechal Floriano Peixoto,1231.0,Centro,Santa Maria,99.0,3,2,0,"Rua Marechal Floriano Peixoto, 1231 - Centro, Santa Maria, Brasil","R. Floriano Peixoto, 1231 - Centro, Santa Maria - RS, 97015-371, Brazil",-29.6881633,-53.8090775,0.0025769663291222294,0.00010179365816357416,0.000719871402775268,0.000345873132082991,0.00010500663183254186,0.0020032912556636816,0.0014346604640388479,0.0022765654511557533,0.003173480498744951,0.0008379323251780913,9.307356479478258e-05,1,0,POINT (-53.8090775 -29.6881633),1,0,0,12.538967060803502,Não Significativo,0.209
522000,R$ 200,,Rua Marechal Hermes,222.0,Passo D'Areia,Santa Maria,160.0,5,3,2,"Rua Marechal Hermes, 222 - Passo D'Areia, Santa Maria, Brasil","R. Mal. Hermes, 222 - Passo D'areia, Santa Maria - RS, 97010-320, Brazil",-29.6879886,-53.826729,0.0004769706135005471,8.745325991948485e-05,0.00032366776486536026,0.0004663742095752958,8.954932365914585e-05,0.00049019746115644,0.00043003883199071823,0.0004902977339900598,0.0005183126064279039,0.00034464951366219854,8.049217768796807e-05,0,1,POINT (-53.826729 -29.6879886),1,0,0,13.165422866864775,Não Significativo,0.29
850000,R$ 350,,Rua Marechal Manoel Gomes Carneiro,414.0,Nossa Senhora das Dores,Santa Maria,107.0,3,2,2,"Rua Marechal Manoel Gomes Carneiro, 414 - Nossa Senhora das Dores, Santa Maria, Brasil","R. Manoel Gomes Carneiro, 414 - Centro, Santa Maria - RS, 97050-470, Brazil",-29.6853603,-53.7992672,0.0015426382585445526,0.00011014323284728198,0.0014792000303711515,0.0002632896960364738,0.00011449626104348346,0.0010203905962738857,0.0027307021010721886,0.001107403835707174,0.0013394253013853036,0.002685615559762961,0.00010107933451871751,0,1,POINT (-53.7992672 -29.6853603),1,0,0,13.652991628466498,Não Significativo,0.342
